ci95_high_m,ci95_low_m,mean_delta_full_minus_naive_m,mean_improvement_fraction,n,trajectory
-0.03290747325604402,-0.04592757089692146,-0.040098446808897695,0.5735838845882711,5,circle
-0.033423419065910454,-0.045166211444886736,-0.04019408138267969,0.5398909417908456,5,fast_ellipse
-0.032587099603023355,-0.041763478939879646,-0.037175289271451493,0.5760108624189259,5,figure8
-0.038230676224321844,-0.04311911866930243,-0.04074739445911375,0.6343754781588359,5,rounded_square
