condition,delta_joint_rmse_rad_mean,delta_joint_rmse_rad_std,delta_orientation_rmse_rad_mean,delta_orientation_rmse_rad_std,delta_tcp_p95_m_mean,delta_tcp_p95_m_std,delta_tcp_rmse_m_mean,delta_tcp_rmse_m_std,ik_method,mpc_method,n
force_pulse_l6,0.07527716741901744,0.01248627525228308,0.1645506458222299,0.02274624715519679,0.050611971803009505,0.011680287800922451,0.02953598911965678,0.005537363739617957,physical,NaiveDelayed,20
nominal,0.0752787602032221,0.010816476872503781,0.16824449585428952,0.02322617356214539,0.05056704662740228,0.012310245868542537,0.028663241647742164,0.004882175917876487,physical,NaiveDelayed,20
observation_noise_l3,0.077284849299759,0.011914425365257416,0.16974682491433107,0.02728392452784154,0.053270195648074135,0.010711959303495484,0.027808854412780644,0.004561162794677192,physical,NaiveDelayed,20
observation_noise_l6,0.07592747159371982,0.010559954839249082,0.16379458851708179,0.027778098840939968,0.05604182239621878,0.013982018254294145,0.03003582012504863,0.005688193275108697,physical,NaiveDelayed,20
payload_l3,0.07430116527700589,0.012252343212356936,0.15100935308683033,0.035713599537514865,0.04327174983918665,0.014438313135517898,0.014326572728137804,0.004903671080361628,physical,NaiveDelayed,20
payload_l6,0.05789042790161549,0.016691354516312536,0.07716880818152848,0.043305807124922734,0.004556988179683602,0.018551949183294062,-0.03305097942131717,0.004580672130451343,physical,NaiveDelayed,20
actuator_gain_l3,0.07818131441943595,0.010237269499899079,0.16175075258956034,0.026808381162816513,0.057255100756883615,0.013405992493479736,0.03190408979626211,0.00625379356019804,preview,NaiveDelayed,20
actuator_gain_l6,0.07379332845228777,0.009996495050150725,0.14737122661652668,0.02373260977455557,0.038559057563543296,0.007546992161262404,0.024969136838676513,0.0048842461011705295,preview,NaiveDelayed,20
force_pulse_l3,0.08032409138331784,0.012009050207874397,0.17135463682597063,0.024343542918568477,0.06787436395883557,0.012993458328322067,0.036581625398872594,0.005826049448202078,preview,NaiveDelayed,20
force_pulse_l6,0.07791607058517841,0.012553751704475246,0.16441785582973636,0.022740649340105782,0.0651634932681918,0.011679340046650442,0.03571059494634337,0.005757759358186745,preview,NaiveDelayed,20
nominal,0.07811390853414665,0.010843004891073413,0.16760398142816751,0.023213081065309015,0.06545005112886425,0.01235125315906918,0.035289223568595755,0.004979478758265108,preview,NaiveDelayed,20
observation_noise_l3,0.08011999763068355,0.012013387414197843,0.16910631048820907,0.027274296275065116,0.0681532001495361,0.010654557284390982,0.034434836333634235,0.004583547781216694,preview,NaiveDelayed,20
observation_noise_l6,0.0787626199246444,0.010615901133006688,0.1631540740909598,0.02777321320686198,0.07092482689768073,0.01405273504623401,0.03666180204590221,0.005944312222286699,preview,NaiveDelayed,20
payload_l3,0.0768400524289763,0.01226806880290525,0.1514857752744013,0.03571112264947791,0.05415531788021331,0.014543340695292022,0.018801932473112543,0.005281380665993472,preview,NaiveDelayed,20
payload_l6,0.05939361595229535,0.016779427110172808,0.07774637520702068,0.04332393280239637,0.014935873821377805,0.018399556763427256,-0.031006205449705455,0.00468325507382517,preview,NaiveDelayed,20
actuator_gain_l3,0.07466234638731925,0.010188328503313766,0.16105182184219619,0.026798266814376907,0.04291836071759464,0.013404083634270435,0.02565703237798727,0.006189796593860133,raw,NaiveDelayed,20
actuator_gain_l6,0.0689726902948012,0.009880115112608723,0.14333483684631018,0.02373417908537918,0.026443519815802546,0.007536143195844404,0.019757459246144072,0.004771246382025508,raw,NaiveDelayed,20
force_pulse_l3,0.07749897234882915,0.011962426932716862,0.1717965121920714,0.02436020771984182,0.05299135945737361,0.01292131450171169,0.02997984932673311,0.005636809359844351,raw,NaiveDelayed,20
force_pulse_l6,0.07527716741901744,0.012486275252283081,0.1645506458222299,0.02274624715519679,0.050611971803009505,0.011680287800922451,0.02953598911965678,0.005537363739617957,raw,NaiveDelayed,20
nominal,0.0752787602032221,0.010816476872503781,0.16824449585428952,0.02322617356214539,0.05056704662740228,0.012310245868542537,0.028663241647742164,0.004882175917876487,raw,NaiveDelayed,20
observation_noise_l3,0.077284849299759,0.011914425365257416,0.16974682491433107,0.02728392452784154,0.053270195648074135,0.010711959303495484,0.027808854412780644,0.004561162794677192,raw,NaiveDelayed,20
observation_noise_l6,0.07592747159371982,0.010559954839249083,0.16379458851708179,0.027778098840939968,0.05604182239621878,0.013982018254294145,0.03003582012504863,0.005688193275108697,raw,NaiveDelayed,20
payload_l3,0.07430116527700589,0.012252343212356936,0.15100935308683033,0.035713599537514865,0.04327174983918665,0.014438313135517898,0.014326572728137804,0.004903671080361628,raw,NaiveDelayed,20
payload_l6,0.05789042790161549,0.016691354516312536,0.07716880818152848,0.043305807124922734,0.004556988179683602,0.018551949183294062,-0.03305097942131717,0.004580672130451343,raw,NaiveDelayed,20
actuator_gain_l3,-0.002634153585751163,0.0007431553552516517,-0.007796721190270471,0.0025129397139736216,-0.023364107310771928,0.0059233817379549854,-0.008468081949876796,0.001985160329064249,physical,ThreadedAsync,20
actuator_gain_l6,-0.005912280801537344,0.0005620997727487885,-0.016754208444295753,0.001601206307726925,-0.03642706263810399,0.004643762827669611,-0.013792985985894329,0.0013704984813613728,physical,ThreadedAsync,20
force_pulse_l3,-0.0032262216156001846,0.0011805745492801166,-0.010016256443869293,0.002758497494961677,-0.03048302549868822,0.005527346972634394,-0.010831527482471895,0.002418187913939575,physical,ThreadedAsync,20
force_pulse_l6,-0.0028598316074480634,0.0011438922659092294,-0.008896994605265458,0.00328340336557868,-0.02520327053964136,0.009947959361347267,-0.00944112503598811,0.0031601183595361946,physical,ThreadedAsync,20
nominal,-0.0031936007161731707,0.0013760057961799254,-0.009934661495106068,0.0028400546636250914,-0.03055914485827087,0.005124770770155175,-0.010836474452082181,0.0023091326090426893,physical,ThreadedAsync,20
observation_noise_l3,-0.001619552303589434,0.0008662595522186605,-0.005181148383117716,0.002080637853516152,-0.019516899995505817,0.006631932323175711,-0.006537110508280995,0.0020034527506045704,physical,ThreadedAsync,20
observation_noise_l6,0.0003617592649852331,0.0023748690950264636,-0.0020420642209514825,0.0047345618627562865,-0.019969199988991024,0.01120065528283142,-0.004819178312851109,0.00462313290591968,physical,ThreadedAsync,20
payload_l3,-0.004014147266135781,0.0015518209783311478,-0.0203677986615537,0.003022031523376605,-0.024163885600864916,0.007003346691169203,-0.014071537924363182,0.0027450719405102135,physical,ThreadedAsync,20
payload_l6,-0.012325119031014025,0.0016406728120762597,-0.059076753723874366,0.006272283657463866,-0.0364208744466305,0.010357506492731365,-0.03259571011452336,0.00410325380522293,physical,ThreadedAsync,20
actuator_gain_l3,0.0008848144463655088,0.0007058578224046247,-0.007097790442906366,0.002516522383804797,-0.009027367271482945,0.005939571722752588,-0.0022210245316019667,0.001916100724531144,preview,ThreadedAsync,20
actuator_gain_l6,-0.0010916426440507599,0.0005447433654012327,-0.012717818674079218,0.0015717906294688028,-0.02431152489036323,0.004617430254341511,-0.008581308393361891,0.001452597855904449,preview,ThreadedAsync,20
