acceleration_violation_count,active_packet_gap_max_s,active_packet_gap_max_steps,active_packet_ratio,actuator_torque_rms_nm,baseline_selection_rate,case_id,command_acceleration_max_abs_rad_s2,command_acceleration_rms_rad_s2,control_compute_max_s,control_compute_p50_s,control_compute_p95_s,control_compute_p99_s,control_deadline_miss_count,control_period_max_s,control_period_p50_s,control_period_p95_s,control_period_p99_s,control_semantics_version,delay_protocol,delay_steps,e2e_max_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,exact_final_pool_time_max_s,exact_final_pool_time_p50_s,exact_final_pool_time_p95_s,exact_pool_candidate_count_mean,exact_pool_valid_count_mean,exact_selection_changed_rate,failure_rate,fallback_duty_cycle,feedback_rms_rad,feedback_saturation_rate,joint_rmse_rad,joint_violation_count,label,lap_tcp_rmse_m,late_packet_rate,multirate_mode,nominal_command_semantics,orientation_rmse_rad,packet_age_max_steps,packet_age_p50_steps,packet_age_p95_steps,packet_expiration_count,packet_residual_semantics,planner_event_count,planner_execution_qref_error_max_rad,planner_execution_qref_error_p95_rad,planner_execution_qref_error_rms_rad,planner_failure_count,planner_failure_step_rate,planner_hz,projection_activation_rate,projection_discrepancy_max_rad,projection_discrepancy_p95_rad,projection_discrepancy_rms_rad,projection_semantics_version,residual_cost_semantics,residual_feasibility_semantics,residual_rms_rad,residual_saturation_rate,safety_projection_offset_max_rad,safety_projection_offset_p95_rad,safety_projection_offset_rms_rad,seed,solve_max_s,solve_p50_s,solve_p95_s,solve_p99_s,start_jitter_max_s,start_jitter_p50_s,start_jitter_p95_s,start_jitter_p99_s,steps,tcp_p95_m,tcp_rmse_m,total_torque_rms_nm,trajectory,velocity_violation_count,wakeup_lateness_max_s,wakeup_lateness_p50_s,wakeup_lateness_p95_s,wakeup_lateness_p99_s
0,0.06,6,0.9966795794133924,20.208502628135605,0.5027624309392266,circle:0,12.500286102294922,6.723324354194859,0.08246900141239166,0.0008505479781888425,0.041781060025095934,0.042545149326324465,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,0.017388665000908077,0.015304064501833636,0.016082767552870792,11.088397790055248,11.088397790055248,0.47790055248618785,0.0,0.003320420586607637,nan,0.0011068068622025456,0.013045901851369304,0,FullVirtual,0.03200625223710408,0.0,virtual_asap,raw_ik,0.028522122183773816,4.0,2.0,4.0,0,requested,362,0.05055496096611023,0.01300002634525299,0.005713919641640652,0,0.0,nan,0.9286109573879358,0.12009255588054657,0.053882256150245646,0.021900230317127196,2,requested,finite,0.022223482639948146,0.0,0.12009255588054657,0.053882256150245646,0.021900230317127196,0,0.0381849929690361,0.034975383430719376,0.03665509130805731,0.03739845778793097,nan,nan,nan,nan,1807,0.06664327159523964,0.03207412323000702,213.72825731317226,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,16.431253404620797,0.505524861878453,circle:0,12.500286102294922,6.883759869776336,2.3517508506774902,0.0008550690254196525,0.039488081634044644,0.04059817604720593,0,nan,nan,nan,nan,2,no_future_alignment,6,nan,nan,nan,nan,0.019746346995816566,0.0157376955030486,0.01693905975407688,11.091160220994475,11.091160220994475,0.4696132596685083,0.0,0.003320420586607637,nan,0.03320420586607637,0.012953075634926323,0,NoFutureAlignment,0.027465842469575827,0.0,virtual_asap,raw_ik,0.02618894343920267,4.0,2.0,4.0,0,requested,362,0.09198977053165436,0.03141601011157036,0.013783915305531688,0,0.0,nan,0.8627559490868844,0.1141265332698822,0.039130324125289884,0.016831274742941403,2,requested,finite,0.01661627309848058,0.0,0.1141265332698822,0.039130324125289884,0.016831274742941403,0,0.04073303937911987,0.03653200343251228,0.0383099040016532,0.03942370761185884,nan,nan,nan,nan,1807,0.06061053462326526,0.029566407562968612,213.36888024969477,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,40.59259512256268,0.43922651933701656,circle:0,12.500286102294922,7.926501438321285,0.0873880684375763,0.000837803992908448,0.04405855350196361,0.04552226826548576,0,nan,nan,nan,nan,2,no_reanchor,6,nan,nan,nan,nan,0.018375350991846062,0.01596158999745967,0.017043833560455822,12.140883977900552,12.107734806629834,0.9085872576177285,1.0,0.003320420586607637,nan,0.5567238516878804,0.8546275796763525,0,NoReanchor,0.46309906503033166,0.0,virtual_asap,raw_ik,1.7375311914744673,9.0,2.0,4.0,0,requested,362,0.16250371932983398,0.069999098777771,0.03081540770855147,0,0.0005534034311012728,nan,0.9634753735473159,0.17750370502471924,0.08499908447265625,0.037140210515863976,2,requested,finite,0.8632493391883049,0.2097399003873824,0.17750370502471924,0.08499908447265625,0.037140210515863976,0,0.04009734466671944,0.036886557936668396,0.038323157094419004,0.03857235848903656,nan,nan,nan,nan,1807,1.1466528415679929,0.5605699566341107,177.36189855441896,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,14.971493194008884,0.47790055248618785,circle:0,12.500286102294922,6.640253939704545,0.07956692576408386,0.0008402980165556073,0.04304991327226162,0.044378893896937374,0,nan,nan,nan,nan,2,no_feedback,6,nan,nan,nan,nan,0.018165601009968668,0.015608935005730018,0.016751840296637965,11.091160220994475,11.091160220994475,0.425414364640884,0.0,0.003320420586607637,nan,0.0,0.011042104870277398,0,NoFeedback,0.025206285203626944,0.0,virtual_asap,raw_ik,0.02398920566015058,4.0,2.0,4.0,0,requested,362,0.05659210681915283,0.013999996474012733,0.0057597686147597875,0,0.0,nan,0.8644161593801881,0.10332368314266205,0.035030212625861125,0.014714280751175297,2,requested,finite,0.015697107417133774,0.0,0.10332368314266205,0.035030212625861125,0.014714280751175297,0,0.03989412635564804,0.036222001537680626,0.03801457490772009,0.03865331821143627,nan,nan,nan,nan,1807,0.05344920530915259,0.026896009323964427,213.38563364243782,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,13.921672400034597,0.505524861878453,circle:1,12.500286102294922,6.696676693711069,0.07612835615873337,0.0008434230112470686,0.04186117984354496,0.04313286624848843,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,0.016403385998273734,0.015316696997615509,0.015924679251838825,11.085635359116022,11.085635359116022,0.425414364640884,0.0,0.003320420586607637,nan,0.0,0.010899191420847802,0,FullVirtual,0.025410146028033296,0.0,virtual_asap,raw_ik,0.02435019301226349,4.0,2.0,4.0,0,requested,362,0.0475010871887207,0.014000027440488338,0.006023608543442521,0,0.0,nan,0.8516878804648589,0.08284875750541687,0.03035863600671291,0.013073628034871816,2,requested,finite,0.014054030201373354,0.0,0.08284875750541687,0.03035863600671291,0.013073628034871816,1,0.03733665868639946,0.03488570638000965,0.03609048668295145,0.036422141566872596,nan,nan,nan,nan,1807,0.054249378293752655,0.025976844738392728,213.0961362403989,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,20.51201048625074,0.46408839779005523,circle:1,12.500286102294922,7.064242187079842,0.07809088379144669,0.0008487959858030081,0.03995166607201099,0.041175205111503604,0,nan,nan,nan,nan,2,no_future_alignment,6,nan,nan,nan,nan,0.017737193003995344,0.015785498508193996,0.017009556946868544,11.091160220994475,11.091160220994475,0.4972375690607735,0.0,0.003320420586607637,nan,0.034864416159380185,0.012984238100740071,0,NoFutureAlignment,0.02794080473901914,0.0,virtual_asap,raw_ik,0.027021187967055556,4.0,2.0,4.0,0,requested,362,0.06982818245887756,0.03263482451438904,0.014417980102710826,0,0.0,nan,0.8793580520199226,0.1512182503938675,0.041764186695218065,0.018793985660508827,2,requested,finite,0.01895559361393472,0.0,0.1512182503938675,0.041764186695218065,0.018793985660508827,1,0.040519118309020996,0.036757344380021095,0.03826322741806507,0.03910472355782986,nan,nan,nan,nan,1807,0.06067923828959465,0.030290352830314025,213.7009804719941,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,62.12396856670676,0.43646408839779005,circle:1,12.500286102294922,7.694062003412625,0.08274268358945847,0.000833850004710257,0.04386069923639298,0.04542134240269661,0,nan,nan,nan,nan,2,no_reanchor,6,nan,nan,nan,nan,0.01845517299079802,0.01582534849876538,0.017018754201126286,12.074585635359115,12.041436464088397,0.9113573407202216,1.0,0.003320420586607637,nan,0.478693967902601,1.5470582483907416,0,NoReanchor,1.3952136091790996,0.0,virtual_asap,raw_ik,1.9519127484761698,9.0,2.0,4.0,0,requested,362,0.16247272491455078,0.06249998789280653,0.027179871602449748,0,0.0005534034311012728,nan,0.9607083563918096,0.17747259140014648,0.07749994099140167,0.03224039953103626,2,requested,finite,1.5492264390197925,0.21527393469839512,0.17747259140014648,0.07749994099140167,0.03224039953103626,1,0.04891640692949295,0.036750031635165215,0.038283669576048854,0.03884618666023016,nan,nan,nan,nan,1807,1.6723498940467834,1.0253460762856075,229.9909073924141,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,22.061553808189185,0.4889502762430939,circle:1,12.500286102294922,6.832507017641763,0.08404438197612762,0.0008409760193899274,0.04374644048511982,0.045408178567886356,0,nan,nan,nan,nan,2,no_feedback,6,nan,nan,nan,nan,0.01795750399469398,0.01565792949986644,0.01674826544476673,11.066298342541437,11.066298342541437,0.5276243093922652,0.0,0.003320420586607637,nan,0.0,0.013207048631081977,0,NoFeedback,0.029487702771018882,0.0,virtual_asap,raw_ik,0.027908755050927603,4.0,2.0,4.0,0,requested,362,0.0650014877319336,0.015052489936351776,0.00672253234215395,0,0.0,nan,0.9346983951300498,0.1339564472436905,0.053924233838915786,0.02176973026052986,2,requested,finite,0.022528937170402084,0.0,0.1339564472436905,0.053924233838915786,0.02176973026052986,1,0.03950422257184982,0.036632031202316284,0.03793335128575563,0.03884179525077343,nan,nan,nan,nan,1807,0.055461094900965686,0.028965534227033848,213.82647952622543,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,32.75332719351193,0.4530386740331492,circle:2,12.500286102294922,7.1926450374588695,0.07704299688339233,0.000845995033159852,0.04156746976077556,0.04309815682470799,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,0.016305195000313688,0.015366126001026714,0.015879422647776663,11.077348066298342,11.077348066298342,0.505524861878453,0.0,0.003320420586607637,nan,0.005534034311012728,0.014985076586259015,0,FullVirtual,0.0326301191208626,0.0,virtual_asap,raw_ik,0.03232305093360027,4.0,2.0,4.0,0,requested,362,0.05926060676574707,0.014999985694885254,0.006515739243384125,0,0.0,nan,0.9418926397343663,0.16218765079975128,0.06688474714756004,0.027375399594867497,2,requested,finite,0.02684794025570955,0.0,0.16218765079975128,0.06688474714756004,0.027375399594867497,2,0.036669086664915085,0.035051507875323296,0.03606592025607824,0.036362849622964856,nan,nan,nan,nan,1807,0.06508848965167999,0.03491568917112515,215.143173715068,circle,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,18.72484968901812,0.47790055248618785,circle:2,12.500286102294922,7.087722093625734,0.07763546705245972,0.0008417579811066389,0.03957972899079323,0.04091616697609425,0,nan,nan,nan,nan,2,no_future_alignment,6,nan,nan,nan,nan,0.017957563992240466,0.015601652499753982,0.016927725499408554,11.074585635359115,11.074585635359115,0.4889502762430939,0.0,0.003320420586607637,nan,0.033757609297177645,0.012962570943474262,0,NoFutureAlignment,0.028380135772967933,0.0,virtual_asap,raw_ik,0.02681963464993037,4.0,2.0,4.0,0,requested,362,0.0769796073436737,0.03093014471232891,0.01385648034962238,0,0.0,nan,0.87825124515772,0.1532624065876007,0.03977024629712104,0.017919545266125117,2,requested,finite,0.017398902347850805,0.0,0.1532624065876007,0.03977024629712104,0.017919545266125117,2,0.04223572090268135,0.036439355462789536,0.03812413420528173,0.03871107656508684,nan,nan,nan,nan,1807,0.05968516021966928,0.029572422541998728,213.51794452593631,circle,0,nan,nan,nan,nan
