condition,delta_joint_rmse_rad,delta_orientation_rmse_rad,delta_tcp_p95_m,delta_tcp_rmse_m,deterministic_ik,ik_joint_rmse_rad,ik_method,ik_orientation_rmse_rad,ik_tcp_p95_m,ik_tcp_rmse_m,level,mpc_joint_rmse_rad,mpc_method,mpc_orientation_rmse_rad,mpc_tcp_p95_m,mpc_tcp_rmse_m,perturbation,reference_sha256,seed,trajectory
actuator_gain_l3,-0.005493437875754051,-0.016012344503479298,-0.03952566310763356,-0.015849648128119547,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012285666574108354,IdealZeroDelay,0.02582543483326831,0.06410989463329313,0.030460356050525998,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l3,-0.00611816050069054,-0.01675141366679373,-0.044821162149310076,-0.01701639831459652,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.011660943949171864,IdealZeroDelay,0.025086365669953876,0.05881439559161661,0.029293605864049024,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l3,-0.005335808698943069,-0.015912273477046664,-0.038211330771446214,-0.015634111242161422,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012443295750919335,IdealZeroDelay,0.025925505859700944,0.06542422696948047,0.030675892936484123,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l3,-0.005563676045621297,-0.016940517513601025,-0.04403855316340918,-0.01642389984299214,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012215428404241108,IdealZeroDelay,0.024897261823146583,0.0595970045775175,0.029886104335653405,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l3,-0.0054652404998681015,-0.01655262916396038,-0.039702043682336874,-0.016021953659671274,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012313863949994303,IdealZeroDelay,0.025285150172787228,0.06393351405858981,0.03028805051897427,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l3,0.052459436183243086,0.10852910018663624,0.021773236244916963,0.018830076165932047,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.07023854063310549,NaiveDelayed,0.15036687952338385,0.12540879398584365,0.06514008034457759,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l3,0.0747889389277905,0.14632196018507526,0.05165024325251584,0.028439250520895798,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.0925680433776529,NaiveDelayed,0.18815973952182288,0.15528580099344252,0.07474925469954134,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l3,0.0534877441106489,0.12332270724847909,0.040557611733675045,0.024247411526166954,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.0712668485605113,NaiveDelayed,0.1651604865852267,0.14419316947460173,0.0705574157048125,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l3,0.0830424390079839,0.18344059701873838,0.03080973103642469,0.027167213932883114,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.1008215434578463,NaiveDelayed,0.225278376355486,0.13444528877735137,0.07347721811152866,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l3,0.07629201026606788,0.1722061205135807,0.040701130777597475,0.0329197224372136,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.09407111471593028,NaiveDelayed,0.2140438998503283,0.14433668851852416,0.07922972661585914,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l3,-0.005330720448979942,-0.014638935426914738,-0.03667676523327823,-0.015718480462265604,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012448384000882462,VirtualDelayAware,0.02719884390983287,0.06695879250764845,0.03059152371637994,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l3,-0.005539965668387855,-0.014231659059046265,-0.03409102931618686,-0.014684917771675972,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.01223913878147455,VirtualDelayAware,0.027606120277701342,0.06954452842473982,0.03162508640696957,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l3,-0.004407326012402088,-0.012922233881938642,-0.035460849851369824,-0.014022955634481145,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.013371778437460317,VirtualDelayAware,0.028915545454808966,0.06817470788955686,0.0322870485441644,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l3,-0.004708145367803094,-0.014178684195318904,-0.0400183096528053,-0.01449819380743303,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.01307095908205931,VirtualDelayAware,0.027659095141428704,0.06361724808812139,0.031811810371212515,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l3,-0.005670901258297388,-0.015661394651894634,-0.04500152207911011,-0.0167620406459274,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.012108203191565017,VirtualDelayAware,0.026176384684852973,0.058634035661816575,0.029547963532718144,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l3,-0.0018574634949874158,-0.0046638081126163244,-0.01843127980828288,-0.0077129713789841695,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.01592164095487499,ThreadedAsync,0.03717397122413128,0.0852042779326438,0.038597032799661375,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l3,-0.0034621959272701577,-0.011184496006144115,-0.0331471115350723,-0.011511108828053104,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.014316908522592247,ThreadedAsync,0.030653283330603492,0.07048844620585439,0.03479889535059244,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l3,-0.003908224348702754,-0.012347395869817989,-0.03039138987660403,-0.012023761767227248,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.01387088010115965,ThreadedAsync,0.02949038346692962,0.07324416786432265,0.0342862424114183,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l3,-0.0028782650749323204,-0.008582714306339563,-0.02616409361362454,-0.008622532353808068,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.014900839374930084,ThreadedAsync,0.033255065030408044,0.07747146412730214,0.037687471824837476,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l3,-0.002301631393811756,-0.007771911605875502,-0.015220349282026258,-0.00821155959417992,True,0.017779104449862405,physical,0.04183777933674761,0.10363555774092668,0.046310004178645545,3,0.015477473056050649,ThreadedAsync,0.034065867730872106,0.08841520845890043,0.038098444584465624,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l6,-0.007565286704000876,-0.020783969847942035,-0.0413199707865715,-0.01787469844264586,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.017475519794831015,IdealZeroDelay,0.03750153824768927,0.10159499496221543,0.04487105549472539,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l6,-0.00708381458500152,-0.02009206430810663,-0.0389799788594246,-0.017072099347428357,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.01795699191383037,IdealZeroDelay,0.03819344378752468,0.10393498688936233,0.045673654589942894,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l6,-0.006738614839588097,-0.020771826251530262,-0.04667785763740548,-0.01757421720731802,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.018302191659243794,IdealZeroDelay,0.037513681844101046,0.09623710811138145,0.04517153673005323,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l6,-0.007484254101768086,-0.02219372914703633,-0.05460706427693371,-0.01948792071802702,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.017556552397063805,IdealZeroDelay,0.03609177894859498,0.08830790147185322,0.04325783321934423,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l6,-0.007423664345266718,-0.022786172902368652,-0.05870050191879275,-0.020225143469086382,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.017617142153565173,IdealZeroDelay,0.035499335193262656,0.08421446382999417,0.04252061046828487,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l6,0.07337872487766318,0.17222695794773885,0.028578141331672663,0.019598225060717026,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.09841953137649508,NaiveDelayed,0.23051246604337017,0.1714931070804596,0.08234397899808828,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
actuator_gain_l6,0.07854938430161179,0.1753230861488102,0.026248636841773892,0.02106273740171105,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.10359019080044368,NaiveDelayed,0.2336085942444415,0.16916360259056082,0.0838084913390823,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,1,circle
actuator_gain_l6,0.06186397422800648,0.11357914345830618,0.027165514230728133,0.02291779321071366,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.08690478072683837,NaiveDelayed,0.1718646515539375,0.17008047997951506,0.08566354714808491,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,2,circle
actuator_gain_l6,0.05555072813635911,0.11166739634810423,0.025610756874084428,0.02162546615491466,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.080591534635191,NaiveDelayed,0.16995290444373554,0.16852572262287135,0.08437122009228591,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,3,circle
actuator_gain_l6,0.08044670361864369,0.1684995458674451,0.04534708112478247,0.03156548185874848,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.10548751011747558,NaiveDelayed,0.2267850539630764,0.1882620468735694,0.09431123579611973,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,4,circle
actuator_gain_l6,-0.006077520216363284,-0.01815401496005633,-0.04105492904782303,-0.01551707400571515,True,0.02504080649883189,physical,0.05828550809563131,0.14291496574878693,0.06274575393737125,6,0.018963286282468607,VirtualDelayAware,0.04013149313557498,0.1018600367009639,0.0472286799316561,actuator_gain,c15a120662df139ed529a1c7d6ba9b078cca47bc7eb4bbfe9dd74464c976ce23,0,circle
