acceleration_violation_count,active_packet_gap_max_s,active_packet_gap_max_steps,active_packet_ratio,actuator_torque_rms_nm,baseline_selection_rate,case_id,command_acceleration_max_abs_rad_s2,command_acceleration_rms_rad_s2,control_compute_max_s,control_compute_p50_s,control_compute_p95_s,control_compute_p99_s,control_deadline_miss_count,control_period_max_s,control_period_p50_s,control_period_p95_s,control_period_p99_s,control_semantics_version,delay_protocol,delay_steps,e2e_max_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,evaluation_set,exact_final_pool_time_max_s,exact_final_pool_time_p50_s,exact_final_pool_time_p95_s,exact_pool_candidate_count_mean,exact_pool_valid_count_mean,exact_selection_changed_rate,failure_rate,fallback_duty_cycle,feedback_rms_rad,feedback_saturation_rate,joint_rmse_rad,joint_violation_count,label,lap_tcp_rmse_m,late_packet_rate,multirate_mode,nominal_command_semantics,orientation_rmse_rad,packet_age_max_steps,packet_age_p50_steps,packet_age_p95_steps,packet_expiration_count,packet_residual_semantics,planner_event_count,planner_execution_qref_error_max_rad,planner_execution_qref_error_p95_rad,planner_execution_qref_error_rms_rad,planner_failure_count,planner_failure_step_rate,planner_hz,projection_activation_rate,projection_discrepancy_max_rad,projection_discrepancy_p95_rad,projection_discrepancy_rms_rad,projection_semantics_version,residual_cost_semantics,residual_feasibility_semantics,residual_rms_rad,residual_saturation_rate,safety_projection_offset_max_rad,safety_projection_offset_p95_rad,safety_projection_offset_rms_rad,seed,solve_max_s,solve_p50_s,solve_p95_s,solve_p99_s,start_jitter_max_s,start_jitter_p50_s,start_jitter_p95_s,start_jitter_p99_s,steps,tcp_p95_m,tcp_rmse_m,total_torque_rms_nm,trajectory,variant,velocity_violation_count,wakeup_lateness_max_s,wakeup_lateness_p50_s,wakeup_lateness_p95_s,wakeup_lateness_p99_s
0,0.06,6,0.9966795794133924,8.96937771558869,0.2569060773480663,circle:0,12.500286102294922,6.298248372128531,0.29178518056869507,0.000845949980430305,0.04090938344597816,0.04210279241204262,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.010925421313844708,0,ProjectionOffCommonD6,0.02659505538521272,0.0,virtual_asap,raw_ik,0.02901708062086365,4.0,2.0,4.0,0,requested,362,0.05299760028719902,0.012042932212352753,0.0058927348584281595,0,0.0,nan,0.710016602102933,0.05356350913643837,0.013200002908706647,0.006313766221235103,2,requested,finite,0.00907960252442947,0.0,0.05356350913643837,0.013200002908706647,0.006313766221235103,0,0.03752078860998154,0.0345201101154089,0.03601911570876837,0.03643431812524795,nan,nan,nan,nan,1807,0.07147166430950165,0.030779999614131057,212.93414958494773,circle,ProjectionOff,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,8.762009255592808,0.2163355408388521,circle:0,12.500286102294922,6.297166800193085,0.002298197941854596,0.000510042009409517,0.0008829929982312023,0.0010520285461097956,0,0.010793074034154415,0.009998609311878681,0.010089544812217355,0.010203946754336357,2,full,6,0.05982852354645729,0.04546819254755974,0.05020433254539967,0.0527572473883629,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.011570181773873842,0,ProjectionOffDeployed,0.028145329366057882,0.008830022075055188,threaded_asap,raw_ik,0.030670203846922085,13.0,2.0,4.0,0,requested,453,0.04614480584859848,0.014461522921919823,0.006371931788689031,0,0.0,25.043188095092773,0.6790260099612617,0.04697518050670624,0.016152709722518917,0.0070217301983895655,2,requested,finite,0.008588543448218803,0.0,0.04697518050670624,0.016152709722518917,0.0070217301983895655,0,0.04960455745458603,0.03680584952235222,0.03914801776409149,0.04318248108029366,0.0007930740248411894,-1.3904916613682872e-06,8.954499935498461e-05,0.00020394705425133043,1807,0.07558437064290044,0.03267680582798259,212.880961435557,circle,ProjectionOff,0,0.0009411848150193691,0.00018138739687856287,0.0002842795976903288,0.00036025583744049117
0,0.06,6,0.9966795794133924,7.230337628081012,0.2541436464088398,circle:0,12.500286102294922,6.051124865589546,2.3770267963409424,0.000843484012875706,0.04221196994185448,0.044645042270421986,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.012555832922029983,0,FullCompiledCommonD6,0.030694468888776326,0.0,virtual_asap,raw_ik,0.03263652538564089,4.0,2.0,4.0,0,requested,362,0.03500080108642578,0.010805787518620491,0.00458260765207847,0,0.0,nan,0.60431654676259,0.040666818618774414,0.010961063578724855,0.004689112984589402,2,requested,finite,0.006441056892022606,0.0,0.040666818618774414,0.010961063578724855,0.004689112984589402,0,0.0388307124376297,0.035232776775956154,0.037153295055031774,0.0380757549777627,nan,nan,nan,nan,1807,0.08099191635847092,0.03521640213568376,212.7086230252747,circle,FullCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,7.2907846084553,0.2692307692307692,circle:0,12.500286102294922,5.982790565875917,0.001178247039206326,0.0004916490288451314,0.0007351751846726982,0.000832557671237737,0,0.01047892402857542,0.009998728055506945,0.01007363828830421,0.010133207961916923,2,full,6,0.06415499001741409,0.04631737247109413,0.05159123241901398,0.05616415217518812,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.012807652837637089,0,FullCompiledDeployed,0.031761684610182084,0.011312217194570135,threaded_asap,raw_ik,0.03359490658286577,9.0,2.0,4.0,0,requested,442,0.03641729801893234,0.01189829595386982,0.005245184423485657,0,0.0,24.451696395874023,0.6159380188157166,0.03625082969665527,0.012289887666702255,0.005371076537209495,2,requested,finite,0.006490867666270819,0.0,0.03625082969665527,0.012289887666702255,0.005371076537209495,0,0.05916493013501167,0.0377369187772274,0.040534209460020065,0.047606921941041956,0.0004789239901583642,-1.271995415663696e-06,7.36385009076912e-05,0.0001332077648839914,1807,0.08237320929765696,0.036208333625920824,212.70028547305424,circle,FullCompiled,0,0.0006623718072660267,0.00017335540906060487,0.0002638244011905044,0.00031534795998595656
0,0.06,6,0.9966795794133924,8.316413223520506,0.48342541436464087,circle:0,12.500286102294922,6.173942780656491,11.341273307800293,0.00083642901154235,0.03639534786343575,0.037837344482541085,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,0.011777642997913063,0.00928053700044984,0.010273558853077703,11.182320441988951,11.182320441988951,0.26243093922651933,0.0,0.003320420586607637,nan,0.0,0.011151808687959529,0,TwoStageCompiledCommonD6,0.02695170903709973,0.0,virtual_asap,raw_ik,0.028957032429447242,4.0,2.0,4.0,0,requested,362,0.024750232696533203,0.009486095979809761,0.003946121149653252,0,0.0,nan,0.6873270614277809,0.0403527170419693,0.011684578191488968,0.0051500071080662745,2,requested,finite,0.008084256606197791,0.0,0.0403527170419693,0.011684578191488968,0.0051500071080662745,0,0.03400178253650665,0.029567205347120762,0.030811197776347398,0.03165555521845817,nan,nan,nan,nan,1807,0.0734930798411369,0.03148583197587147,212.81694615360956,circle,TwoStageCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,8.565785866555776,0.5551330798479087,circle:0,12.500286102294922,5.91962764769232,0.0014177820412442088,0.0004977050120942295,0.0007547267829068004,0.0008949224092066297,0,0.010444406419992447,0.009997936896979809,0.010081772226840258,0.0101727485191077,2,full,6,0.04612254723906517,0.03933504968881607,0.044454562664031985,0.045277163684368134,deployed,0.014141452993499115,0.009901999503199477,0.01124973950572894,11.085551330798479,11.085551330798479,0.2908745247148289,0.0,0.003320420586607637,nan,0.0,0.011602454949214289,0,TwoStageCompiledDeployed,0.02853179005618307,0.0,threaded_asap,raw_ik,0.029941712776359514,4.0,2.0,4.0,0,requested,526,0.044977396726608276,0.013357847929000854,0.005873891199738392,0,0.0,29.105253219604492,0.6629773104593248,0.04488259181380272,0.01353260129690168,0.005982939876778352,2,requested,finite,0.00803863603180667,0.0,0.04488259181380272,0.01353260129690168,0.005982939876778352,0,0.03586083650588989,0.03134303167462349,0.033177579194307326,0.03452254116535186,0.00044440600322559476,-2.063001147689647e-06,8.177249765140004e-05,0.00017274875499424542,1807,0.0749394699931144,0.03271681351161885,212.79166678973132,circle,TwoStageCompiled,0,0.0006878263084217906,0.0001854153670137748,0.0002724052697885781,0.0003581615258008245
0,0.06,6,0.9966795794133924,29.288078135814356,0.1270718232044199,circle:1,12.500286102294922,7.432771079103927,0.07627194374799728,0.0008353170123882592,0.04154473021626472,0.043010819628834726,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.020608933099662635,0,ProjectionOffCommonD6,0.04969311381913086,0.0,virtual_asap,raw_ik,0.051919985754892206,4.0,2.0,4.0,0,requested,362,0.2343633770942688,0.09906666167080402,0.03413065262576633,0,0.0,nan,0.8494742667404538,0.23436501622200012,0.10213362276554085,0.03524446175370475,2,requested,finite,0.029889798021506576,0.0,0.23436501622200012,0.10213362276554085,0.03524446175370475,1,0.037172507494688034,0.034593287855386734,0.03595773577690124,0.03642971765249967,nan,nan,nan,nan,1807,0.09664848819375031,0.04792167389495144,214.99442134508692,circle,ProjectionOff,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,27.160711972785887,0.13537117903930132,circle:1,12.500286102294922,7.51360834386117,0.0011406400008127093,0.0004921070067211986,0.0006437093892600386,0.0007219264504965395,0,0.011187060736119747,0.009998446330428123,0.010085601825267076,0.010139956045895815,2,full,6,0.06168690696358681,0.04457125440239906,0.04908256754279137,0.050965268611907956,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.01850383776575034,0,ProjectionOffDeployed,0.041479980567918164,0.004366812227074236,threaded_asap,raw_ik,0.04656901971349511,9.0,2.0,4.0,0,requested,458,0.20771504938602448,0.08547481335699558,0.03030690152270656,0,0.0,25.332019805908203,0.8837852794687328,0.2077075093984604,0.08799496851861474,0.031368647364005374,2,requested,finite,0.02730144128386842,0.0,0.2077075093984604,0.08799496851861474,0.031368647364005374,1,0.052792467176914215,0.036507461220026016,0.038557829707860945,0.04030260398983956,0.001187060959637165,-1.5534876638412243e-06,8.56017431942746e-05,0.00013995605622767472,1807,0.08410356342792495,0.04382858798842393,214.44098824831266,circle,ProjectionOff,0,0.0013142360839992762,0.00018304151308257133,0.00028922706842422465,0.00032728348276577906
0,0.06,6,0.9966795794133924,7.065308769319054,0.24861878453038674,circle:1,12.500286102294922,6.1022351862641875,0.07605121284723282,0.0008396449848078191,0.04207087568938732,0.043233219087123874,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.012467146139974038,0,FullCompiledCommonD6,0.03097075292741575,0.0,virtual_asap,raw_ik,0.03289024779676106,4.0,2.0,4.0,0,requested,362,0.037500858306884766,0.011000017635524273,0.004637773223899478,0,0.0,nan,0.5938018815716657,0.03418600559234619,0.011517953360453248,0.004945019678310766,2,requested,finite,0.00683279441124434,0.0,0.03418600559234619,0.011517953360453248,0.004945019678310766,1,0.03782053291797638,0.03519556671380997,0.03671088200062513,0.0373527817428112,nan,nan,nan,nan,1807,0.07925359979271887,0.035169465334518306,212.67565167411757,circle,FullCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,7.68378874217,0.24444444444444444,circle:1,12.500286102294922,5.943521702993133,0.0013812750112265348,0.0005021480028517544,0.0009506959933787584,0.001163224552292377,0,0.010474598035216331,0.009998472407460213,0.010116937104612589,0.010199356125667691,2,full,6,0.06245554983615875,0.04628600552678108,0.049886285513639446,0.05271698802709578,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.012674369590729938,0,FullCompiledDeployed,0.031567369764290525,0.006666666666666667,threaded_asap,raw_ik,0.033854671647131004,9.0,2.0,4.0,0,requested,450,0.03803706169128418,0.012114714831113815,0.005153120349801668,0,0.0,24.88648796081543,0.6104039845047039,0.038074612617492676,0.01242367774248122,0.005305719182450077,2,requested,finite,0.006563227446540659,0.0,0.038074612617492676,0.01242367774248122,0.005305719182450077,1,0.05069275572896004,0.037143949419260025,0.03924778327345848,0.043253495097160304,0.0004745979967992753,-1.5275052192009753e-06,0.00011693699707393534,0.00019935626187361799,1807,0.08124132752418516,0.03596565860053023,212.80424120932824,circle,FullCompiled,0,0.0006564360810443759,0.00016673172649461776,0.00028623263351619245,0.00039566332008689724
