robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w
ABB,DirectIK,circle,0,./outputs/robustness/paper_three_ik_l036_s5_v1/physical/nominal/circle_seed_0,40.10962114423325,0.474489287124293,0.9488686919212334,3.1495094299316406,50.63652228228182,78.74146103858948,537.0676517486572,5.75414544947853,14.965572643280023,23.310453414916992,20.428872121507883,52.8261661529541,91.30864143371582,nan,nan,1.4311406890597802,4.508812258684338,5.534540221227626
ABB,FullVirtual,circle,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/circle_seed_0,32.074123230007025,6.723324354194859,12.500286102294922,12.500286102294922,690.5642707544292,1999.974250793457,2500.0572204589844,20.208502628135605,49.895307922363216,118.39006042480469,217.33280247588908,505.1142692565918,1207.8553557395935,nan,nan,6.090795837725807,17.48376133770053,34.03758588250628
ABB,ThreadedASAP,circle,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/circle_seed_0,29.70463593799036,6.882450744929268,12.500286102294922,12.500286102294922,694.6213382337176,1999.974250793457,2500.0572204589844,17.789523993256793,45.03976993560791,91.15760803222656,201.3459724211667,456.391778588295,1107.9971313476562,nan,nan,5.470846829144089,17.123802183419148,40.79385740015055
ABB,FullVirtual,circle,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/circle_seed_1,25.976844738392728,6.696676693711069,12.500286102294922,12.500286102294922,688.7943922029195,1999.974250793457,2500.0572204589844,13.921672400034597,34.5819400787353,81.30892181396484,183.08290627497163,422.5507855415344,1028.0171155929565,nan,nan,3.603683602502039,12.357767679246372,22.53283053873528
ABB,ThreadedASAP,circle,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/circle_seed_1,27.784595123357924,6.8736016491292595,12.500286102294922,12.500286102294922,712.4531613147844,1999.974250793457,2500.0572204589844,14.739663029543932,35.60069789886468,106.10384368896484,192.15867048913333,443.52898597717285,1032.9483032226562,nan,nan,3.779469631468338,11.997944940705237,27.375057058386265
ABB,FullVirtual,circle,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/circle_seed_2,34.91568917112515,7.1926450374588695,12.500286102294922,12.500286102294922,732.3148809093527,2000.0,2500.0572204589844,32.75332719351193,70.76333007812497,230.81472778320312,302.247802033353,623.8500595092773,1567.1586990356445,nan,nan,10.829170083546968,39.296553274997976,60.49170305306601
ABB,ThreadedASAP,circle,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/circle_seed_2,29.424067323336715,6.644541849084925,12.500286102294922,12.500286102294922,675.410706770309,1999.974250793457,2500.0572204589844,16.238342415470946,38.31934394836419,121.83879852294922,197.5114357466512,449.5286285877228,1061.264419555664,nan,nan,4.378921397531912,16.29171298936808,29.43932991440951
ABB,FullVirtual,circle,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/circle_seed_3,26.996317902546014,6.845517877103196,12.500286102294922,12.500286102294922,716.5920302579301,1999.974250793457,2500.0572204589844,14.760855613459684,36.078952598571746,103.91232299804688,189.33087107528547,428.8771152496338,1105.0537109375,nan,nan,4.075612975834157,13.234670502223306,35.357264528808656
ABB,ThreadedASAP,circle,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/circle_seed_3,28.2774808984439,6.84045659790428,12.500286102294922,12.500286102294922,698.7832647446604,1999.974250793457,2500.0572204589844,12.3131843900378,29.79299879074094,77.95881652832031,171.3619095130277,386.73776388168335,941.0812228918076,nan,nan,3.245304216038982,10.011377968062463,17.845806302138712
ABB,FullVirtual,circle,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/circle_seed_4,26.5089660484861,6.706777526177313,12.500286102294922,12.500286102294922,708.1967970769022,1999.974250793457,2500.0572204589844,18.63193623325726,42.950293350219724,144.17515563964844,214.60310095116427,479.2994976043701,1212.6819133758545,nan,nan,5.102391817245225,17.167163748864258,38.582102055770754
