robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w,effort_scale
ABB,EffortScale0.5,circle,0,./outputs/paper_claim_evidence_v2/runs/cache/abcba8270e3edcab70f035dbf403de6b0b279536031b21b949e3d0eaa636aaee,38.524000308289054,7.262853020385364,12.500286102294922,12.500286102294922,717.5831094115305,1999.974250793457,2500.0572204589844,30.992544826380392,72.96183128356931,133.50152587890625,290.24496868245586,614.3195152282715,1314.7501468658447,nan,nan,12.692190811180307,34.93718320859611,62.46949273323893,0.5
ABB,EffortScale1,circle,0,./outputs/paper_claim_evidence_v2/runs/cache/d47b6587b7145c1fb34d7ac282d6d269c556ee1a4b5f5335b6652886b030d8dd,32.074123230007025,6.723324354194859,12.500286102294922,12.500286102294922,690.5642707544292,1999.974250793457,2500.0572204589844,20.208502628135605,49.895307922363216,118.39006042480469,217.33280247588908,505.1142692565918,1207.8553557395935,nan,nan,6.090795837725807,17.48376133770053,34.03758588250628,1.0
ABB,EffortScale2,circle,0,./outputs/paper_claim_evidence_v2/runs/cache/e275859bcca3b3d545474c9ba2e70a5f002af3bb0bd0855b44224cc544fab388,30.08152054405485,6.598456646740893,12.500286102294922,12.500286102294922,691.1612770600748,1999.974250793457,2500.0572204589844,14.19358918928005,32.60517158508297,133.96923828125,192.6016302027886,431.9589853286743,1315.2834922075272,nan,nan,3.4497547036270984,12.142915796201207,28.60113825342686,2.0
ABB,EffortScale4,circle,0,./outputs/paper_claim_evidence_v2/runs/cache/65697fd2de71c6c9b90f8b80facfab207d247f7aea530b68be72ef45df775a0f,33.56310625294448,6.22837873423352,12.500286102294922,12.500286102294922,649.706089840245,1999.974250793457,2500.0572204589844,13.480017797708738,30.481149005889865,119.32305145263672,164.40911918618855,374.2244601249695,1070.102310180664,nan,nan,3.307390907450654,11.641060258605355,23.061357219925217,4.0
ABB,EffortScale8,circle,0,./outputs/paper_claim_evidence_v2/runs/cache/9f5961f7df204e03b58852f15c362458c26f208359ee2dd4599f993496ba557d,35.916537734511564,5.75733882286482,12.500286102294922,12.500286102294922,640.0625557181129,1999.974250793457,2500.0572204589844,8.356777337453936,19.81905403137207,69.36324310302734,119.78344305386433,275.39454102516174,1045.0679779052734,nan,nan,2.107047936212078,8.049019982051828,14.127001204172057,8.0
ABB,EffortScale0.5,circle,1,./outputs/paper_claim_evidence_v2/runs/cache/1d70e536ae13b022cb6ebcc423dcc85c468d85c99580df63806912fb65ee2d2d,33.48929002972248,7.0235890422156295,12.500286102294922,12.500286102294922,726.5843007207842,1999.974250793457,2500.0572204589844,25.17780873125449,63.6811326980589,113.42137145996094,248.09566921163335,594.5016145706177,1231.4887046813965,nan,nan,8.252790205979778,20.705904376426528,29.884283476877343,0.5
ABB,EffortScale1,circle,1,./outputs/paper_claim_evidence_v2/runs/cache/18a1298a5203e56bff3279cd01a19153d84e5e8438b6eb077ab3a7253f3fbcb9,25.976844738392728,6.696676693711069,12.500286102294922,12.500286102294922,688.7943922029195,1999.974250793457,2500.0572204589844,13.921672400034597,34.5819400787353,81.30892181396484,183.08290627497163,422.5507855415344,1028.0171155929565,nan,nan,3.603683602502039,12.357767679246372,22.53283053873528,1.0
ABB,EffortScale2,circle,1,./outputs/paper_claim_evidence_v2/runs/cache/fad9fe09f5a8b1740ff967c4eb5511bbd79c9666a3148200f79320c9ff0401c3,30.159475004882314,6.472604300552843,12.500286102294922,12.500286102294922,682.152815274303,1999.974250793457,2500.0572204589844,12.961858980123745,29.87274074554441,97.37008666992188,176.34611841839137,400.55593252182007,1161.1324310302734,nan,nan,3.360572669768383,11.531562376964914,29.444394474086984,2.0
ABB,EffortScale4,circle,1,./outputs/paper_claim_evidence_v2/runs/cache/d787cf96a06072690a0a1e2f1b8ea1c1172a38d05f6411bc7a7b282ffc1202b1,32.184402811942526,6.5228283563645535,12.500286102294922,12.500286102294922,705.6819806846061,1999.974250793457,2500.0572204589844,10.695424460595572,24.329242515563944,75.34049987792969,153.36480350170328,344.4159150123596,1032.993984222412,nan,nan,2.71665733742237,10.56771595639884,24.17670371401301,4.0
ABB,EffortScale8,circle,1,./outputs/paper_claim_evidence_v2/runs/cache/4a54dda7c819b1974dd0d84d633749c8a917f4dba55a87b803342c2ff14cb4b7,35.56024668205612,5.707671374383385,12.500006675720215,12.500286102294922,618.7091813578598,1873.7130165100098,2500.0572204589844,7.416440699002592,17.707690525054918,56.23274612426758,105.8594427621927,241.12191200256348,720.9545135498047,nan,nan,1.9392067625904037,6.6853129132908515,12.857794155640144,8.0
ABB,EffortScale0.5,circle,2,./outputs/paper_claim_evidence_v2/runs/cache/735db0d08e9efd6029ff95b1f0e3c81ac5405545235802ed69f474497c8f6ffe,35.70095353056175,7.02588081371972,12.500286102294922,12.500286102294922,695.6282652564751,1999.974250793457,2500.0572204589844,28.310564016068216,71.26227416992185,122.28590393066406,267.12132631602105,616.0272121429443,1210.1476669311523,nan,nan,10.418309140655786,27.444654621571257,54.87086586018277,0.5
ABB,EffortScale1,circle,2,./outputs/paper_claim_evidence_v2/runs/cache/09f5cf5dfec20cdebd70af27e8affceede7d5ff3ca664ee613ebf10edb0a8c3a,34.91568917112515,7.1926450374588695,12.500286102294922,12.500286102294922,732.3148809093527,2000.0,2500.0572204589844,32.75332719351193,70.76333007812497,230.81472778320312,302.247802033353,623.8500595092773,1567.1586990356445,nan,nan,10.829170083546968,39.296553274997976,60.49170305306601,1.0
ABB,EffortScale2,circle,2,./outputs/paper_claim_evidence_v2/runs/cache/a83d16ea6e4c9cf129f667f420c6cfdfdc845d1ba77b1f632377d978cf638845,28.5344503482456,6.559052637215576,12.500286102294922,12.500286102294922,698.7486673954128,1999.974250793457,2500.0572204589844,12.878447022972901,31.52964067459105,89.25332641601562,177.8814321132944,418.7630273401737,1059.3730926513672,nan,nan,3.1175701521378416,11.857306522240675,17.65758932908426,2.0
ABB,EffortScale4,circle,2,./outputs/paper_claim_evidence_v2/runs/cache/8d6818ed7586b038bff925f8154c132bf285bfd7cc24e6152f8a83b2df4d9325,32.70266676054031,6.470723870050605,12.500286102294922,12.500286102294922,685.6449238557622,1999.974250793457,2500.0572204589844,11.078025041118645,24.955509567260712,84.78633880615234,154.43990561048992,345.56678533554077,1128.997802734375,nan,nan,2.80279888472342,11.629671644993376,22.167785135623365,4.0
ABB,EffortScale8,circle,2,./outputs/paper_claim_evidence_v2/runs/cache/7abce34cefb6ceee386039fa9e47b4f3bbea1f7891bad6044a9cf8fdc293e704,36.15211652608741,5.852544277862499,12.500286102294922,12.500286102294922,630.5630232876397,1999.974250793457,2500.0572204589844,7.74330778689555,18.446551704406737,67.5133285522461,117.41897946411744,267.5957202911377,748.1060028076172,nan,nan,2.0139191340795715,7.15862169103531,14.49348372258103,8.0
ABB,EffortScale0.5,circle,3,./outputs/paper_claim_evidence_v2/runs/cache/870d16d011b9499f2a7388f1e8c3b57cc71a1b099f0b74968595b84090210640,32.06478138129277,7.39587386908154,12.500286102294922,12.500286102294922,765.3583195129812,2000.004005432129,2500.0572204589844,27.38986627655885,67.75888061523419,133.10951232910156,266.08857354645266,611.3321304321289,1241.366958618164,nan,nan,9.825783037472313,26.764860835702358,42.06499080905513,0.5
ABB,EffortScale1,circle,3,./outputs/paper_claim_evidence_v2/runs/cache/cb8cb11d9f7afe2c195826c0dc034b2e662b196fabbe92275a5a8e15d5c4ab7f,26.996317902546014,6.845517877103196,12.500286102294922,12.500286102294922,716.5920302579301,1999.974250793457,2500.0572204589844,14.760855613459684,36.078952598571746,103.91232299804688,189.33087107528547,428.8771152496338,1105.0537109375,nan,nan,4.075612975834157,13.234670502223306,35.357264528808656,1.0
ABB,EffortScale2,circle,3,./outputs/paper_claim_evidence_v2/runs/cache/7867bf856726a601fe3e46be4c503eb361f37ade86bc7f69c7bb6e757a64e0fb,29.21319889188915,6.620125154352718,12.500286102294922,12.500286102294922,694.568284663488,1999.974250793457,2500.0572204589844,15.01324702414908,32.7142244338989,147.8550567626953,186.80765520750506,404.6122074127197,1314.3799364566803,nan,nan,3.7138933542655446,13.584594614436421,30.80274806098094,2.0
ABB,EffortScale4,circle,3,./outputs/paper_claim_evidence_v2/runs/cache/6c1fc8d331d36a56f62aec348a0eacd0e78d8b4c287dab44cddb6510ce9508f8,31.69302507147524,6.333998566816866,12.500286102294922,12.500286102294922,647.7650578228339,1999.974250793457,2500.0572204589844,11.94571566022209,27.967513751983528,83.93134307861328,162.96705721262154,369.60859298706055,1130.9494018554688,nan,nan,3.1532140121273966,13.258058087965296,20.23784613212169,4.0
ABB,EffortScale8,circle,3,./outputs/paper_claim_evidence_v2/runs/cache/b18ab6aefd71efcc22d662d142e33b04e4548026e5aaf5c7228dbb1a73ce5b42,35.43617246263503,5.752622053972264,12.500286102294922,12.500286102294922,644.3943015554512,1999.974250793457,2500.0572204589844,8.395667754740428,19.77012910842894,65.07151794433594,117.12336505707326,258.83986949920654,779.8593170940876,nan,nan,2.1915172173734345,8.106874362922111,17.484403248552237,8.0
ABB,EffortScale0.5,circle,4,./outputs/paper_claim_evidence_v2/runs/cache/568f662c98f1ee704732f2c223024997d754bf006bc24bc5a6cd25e6d757a44c,25.685856750110993,7.090537263618081,12.500286102294922,12.500286102294922,762.7900623951487,2000.0003814697266,2500.0572204589844,21.3472434013822,48.69844493865965,182.39271545410156,230.85015448520312,509.66506004333496,1442.926025390625,nan,nan,5.470577326286353,22.494592542279296,41.599605452045346,0.5
ABB,EffortScale1,circle,4,./outputs/paper_claim_evidence_v2/runs/cache/7cdaec92dad1eb4e7edd8ff4109f2e1edc338797403ac251b2e8e5b9af4305b2,26.5089660484861,6.706777526177313,12.500286102294922,12.500286102294922,708.1967970769022,1999.974250793457,2500.0572204589844,18.63193623325726,42.950293350219724,144.17515563964844,214.60310095116427,479.2994976043701,1212.6819133758545,nan,nan,5.102391817245225,17.167163748864258,38.582102055770754,1.0
ABB,EffortScale2,circle,4,./outputs/paper_claim_evidence_v2/runs/cache/9c8a820460fb6e764299bc061972c3108cb23aafe1e823d7ddd2a1ac50ca1ce1,28.800554464057164,6.585121594042299,12.500286102294922,12.500286102294922,694.6928467725224,1999.974250793457,2500.0572204589844,14.44213035965767,34.64527072906493,82.3539810180664,184.65145157572124,411.74988746643066,1116.3854598999023,nan,nan,4.027570317341575,14.37072020711075,32.52264677597037,2.0
ABB,EffortScale4,circle,4,./outputs/paper_claim_evidence_v2/runs/cache/353efbfc4745b7f816120899c6b282a42b8b7cc9c13d2fe9b8d5c9a6930e647e,32.27632863388402,6.380680150734358,12.500286102294922,12.500286102294922,680.998432842552,1999.974250793457,2500.0572204589844,10.297310611182198,24.176141071319496,66.41271209716797,146.92403623898736,337.0110407471657,899.4580268859863,nan,nan,2.651526969020808,9.696477170072438,18.42832351534532,4.0
ABB,EffortScale8,circle,4,./outputs/paper_claim_evidence_v2/runs/cache/de38cd05328bfc2eddd032b8f6b02695ad3c7ba4a5d11e2eab80f3c87a79555f,36.282943477242185,5.778096081855385,12.500286102294922,12.500286102294922,629.1154946735204,1951.940369606018,2500.0572204589844,8.89333456835312,20.562935447692865,69.70782470703125,123.3741200129272,283.1279993057251,897.931718826294,nan,nan,2.2762465901410343,9.047016536823605,19.967895924243766,8.0
ABB,EffortScale0.5,figure8,0,./outputs/paper_claim_evidence_v2/runs/cache/c42c31ec8ba8b361bb5e3451fbb6ae9cbb4f012f94b9ae7c7356d05752f77004,48.62492463113554,7.741948595342027,12.500286102294922,12.500286102294922,746.8613144784948,2000.004005432129,2500.0572204589844,39.632295511478816,87.27731285095214,153.25355529785156,340.95607435638595,657.6594471931458,1392.7230834960938,nan,nan,19.44091229761266,42.175104082424276,65.54549366123031,0.5
ABB,EffortScale1,figure8,0,./outputs/paper_claim_evidence_v2/runs/cache/ba092538bcf6f7f5993006667681c1e0ce47f216dd674757ca2d9d5d963c806b,27.752275726630472,6.628610759722814,12.500286102294922,12.500286102294922,699.2200149871,1999.974250793457,2500.0572204589844,15.468242593296736,38.27451591491694,128.36822509765625,187.45989370226275,427.4931848049164,1012.6617431640625,nan,nan,4.269355199334616,16.585251754709038,38.45523764214706,1.0
