effort_scale,n,tcp_rmse_mm,command_acceleration_rms_rad_s2,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,absolute_mechanical_power_p95_w,tcp_rmse_mm_ci95_low,tcp_rmse_mm_ci95_high,command_acceleration_rms_rad_s2_ci95_low,command_acceleration_rms_rad_s2_ci95_high,torque_rms_nm_ci95_low,torque_rms_nm_ci95_high
0.25,9,39.171933423823916,7.290571741107687,29.8111263649068,74.5146899329291,136.16791025797525,30.303599720711347,30.94014888125014,48.451807807088606,7.086581678936038,7.505970388929798,24.515552353249873,34.85927088099593
0.5,9,35.82115768721383,7.109028605558649,26.02822219562776,62.65872924592754,121.22743309868707,26.850154741060415,30.249797052382924,40.89442676725379,6.905736424885093,7.324359786479942,19.699671161701495,30.934113221245603
1.0,9,30.70284955875636,6.775828454774374,19.31204442856184,45.797447692023326,129.19120279947916,19.979413528984008,27.011605475481957,34.15573706774165,6.6083621204709395,6.927587904071964,16.260633619263526,24.143677175714597
2.0,9,30.299122099415634,6.563544667724561,13.40002948710329,31.42729958428274,102.53257581922743,12.922343807942692,27.845226593670432,33.24871205516637,6.46586950319373,6.654593441050306,12.008978268255524,14.445741044387132
4.0,9,33.48718117343771,6.324432344573783,11.887265793021575,27.516645654042545,87.70143466525607,11.921842075914403,30.851397638361973,36.54038380172925,6.155689897022409,6.457171690027112,9.73898922880199,14.331550796087479
8.0,9,36.736175841889505,5.595919114803481,8.36718476516099,19.85564976798162,64.41156175401476,8.31592260218868,34.298702513658945,40.06768512554249,5.322349224095826,5.788615147645691,7.42747889154604,9.434528565040418
